epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,7728.32,0.22907,0.25749,0.22456,0.80142,0,0.9575,0.961,0.98435,0.96979,0.9575,0.961,0.98435,0.95811,0.20696,0.24542,0.2303,0.77624,0,8.26077e-05,8.26077e-05,8.26077e-05
83,7823.2,0.23014,0.25081,0.23011,0.80132,0,0.97424,0.95129,0.98674,0.97529,0.97424,0.95129,0.98674,0.9578,0.20385,0.24534,0.2232,0.77524,0,7.84794e-05,7.84794e-05,7.84794e-05
84,7919.87,0.22805,0.24274,0.22825,0.80062,0,0.97398,0.9506,0.98636,0.97402,0.97398,0.9506,0.98636,0.95925,0.19971,0.24404,0.21974,0.77492,0,7.43511e-05,7.43511e-05,7.43511e-05
85,8009.93,0.22957,0.23674,0.22834,0.80142,0,0.96567,0.9644,0.98776,0.97597,0.96567,0.9644,0.98776,0.96127,0.19964,0.24549,0.21662,0.77482,0,7.02228e-05,7.02228e-05,7.02228e-05
86,8105.34,0.22112,0.24006,0.22164,0.79872,0,0.97467,0.94791,0.98524,0.97213,0.97467,0.94791,0.98524,0.95867,0.204,0.24309,0.22177,0.77528,0,6.60945e-05,6.60945e-05,6.60945e-05
87,8195.59,0.22135,0.24204,0.21858,0.80189,0,0.96655,0.95401,0.9845,0.97163,0.96655,0.95401,0.9845,0.9559,0.20031,0.24788,0.22608,0.77504,0,6.19662e-05,6.19662e-05,6.19662e-05
88,8294.03,0.22773,0.24392,0.22387,0.79936,0,0.97244,0.94744,0.98532,0.97232,0.97244,0.94744,0.98532,0.95717,0.20027,0.24552,0.22244,0.77455,0,5.78379e-05,5.78379e-05,5.78379e-05
89,8394.61,0.22696,0.25453,0.22095,0.80135,0,0.97483,0.94702,0.98545,0.9711,0.97483,0.94702,0.98545,0.95744,0.20103,0.24616,0.22357,0.77489,0,5.37096e-05,5.37096e-05,5.37096e-05
90,8491.49,0.22113,0.23854,0.2141,0.80156,0,0.9676,0.94453,0.98641,0.97313,0.9676,0.94453,0.98641,0.95785,0.19958,0.24764,0.22294,0.77489,0,4.95813e-05,4.95813e-05,4.95813e-05
91,8586.82,0.20237,0.23123,0.18977,0.77641,0,0.96827,0.92815,0.97677,0.96294,0.96871,0.92864,0.97677,0.95046,0.20537,0.24902,0.24561,0.77563,0,4.5453e-05,4.5453e-05,4.5453e-05
92,8678.4,0.1981,0.22243,0.18547,0.77029,0,0.95736,0.94466,0.97842,0.96542,0.95778,0.94515,0.97842,0.94953,0.20164,0.24861,0.24106,0.77485,0,4.13247e-05,4.13247e-05,4.13247e-05
93,8772.06,0.19684,0.21967,0.18291,0.77559,0,0.96305,0.94113,0.97735,0.96384,0.96351,0.94162,0.97735,0.94942,0.20266,0.24857,0.24367,0.77546,0,3.71964e-05,3.71964e-05,3.71964e-05
94,8858.61,0.19597,0.22291,0.1856,0.77381,0,0.96271,0.93187,0.97375,0.95934,0.96311,0.9324,0.97375,0.94485,0.20153,0.24712,0.24919,0.77525,0,3.30681e-05,3.30681e-05,3.30681e-05
95,8946.87,0.19306,0.22469,0.17841,0.77441,0,0.96417,0.93766,0.97626,0.96267,0.96417,0.93766,0.97626,0.9478,0.2013,0.24387,0.24065,0.7751,0,2.89398e-05,2.89398e-05,2.89398e-05
96,9036.94,0.19491,0.22375,0.18113,0.77266,0,0.95953,0.94913,0.9803,0.96664,0.95995,0.94962,0.9803,0.95128,0.20204,0.24564,0.23137,0.77521,0,2.48115e-05,2.48115e-05,2.48115e-05
97,9133.37,0.19193,0.21591,0.17733,0.77486,0,0.9635,0.95203,0.9816,0.96844,0.9639,0.95258,0.9816,0.95274,0.1989,0.24636,0.22187,0.77476,0,2.06832e-05,2.06832e-05,2.06832e-05
98,9227.5,0.19113,0.21303,0.17818,0.77364,0,0.96686,0.94404,0.9801,0.96748,0.96656,0.94434,0.9801,0.95231,0.19879,0.24595,0.2293,0.77474,0,1.65549e-05,1.65549e-05,1.65549e-05
99,9319.58,0.18989,0.22241,0.17628,0.76772,0,0.96706,0.94617,0.98153,0.96831,0.96706,0.94617,0.98153,0.9538,0.19825,0.24592,0.22663,0.77463,0,1.24266e-05,1.24266e-05,1.24266e-05
100,9413.16,0.19023,0.22188,0.17571,0.77495,0,0.97025,0.94525,0.98148,0.96878,0.97025,0.94525,0.98148,0.95247,0.19801,0.24459,0.22361,0.77446,0,8.2983e-06,8.2983e-06,8.2983e-06
